trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
128,False,"{'a': 0.1, 'e': 0.9918191787040556}",30,0,-323.21138656263946,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 6}",0
129,False,"{'a': 0.1, 'e': 0.9916910320548965}",20,0,-103.0849186190533,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
130,False,"{'a': 0.1, 'e': 0.9915618937147881}",30,0,-217.51715316697985,"{0: 14, 1: 1, 2: 11, 3: 2, 4: 2}",0
131,False,"{'a': 0.1, 'e': 0.9914317638128685}",25,0,-252.06558931979583,"{0: 12, 1: 2, 2: 5, 3: 2, 4: 4}",0
132,False,"{'a': 0.1, 'e': 0.9913006424792677}",20,0,-51.012363388889334,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
133,False,"{'a': 0.1, 'e': 0.9911685298451072}",20,0,-196.73762046569604,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
134,False,"{'a': 0.1, 'e': 0.9910354260424993}",20,0,-126.87555765768043,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
135,False,"{'a': 0.1, 'e': 0.9909013312045479}",25,0,-164.1380121108185,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
136,False,"{'a': 0.1, 'e': 0.990766245465348}",25,12,-91.38929066912034,"{0: 7, 1: 3, 2: 1, 3: 0, 4: 2}",1
137,False,"{'a': 0.1, 'e': 0.9906301689599851}",20,0,-184.0832549888569,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
138,False,"{'a': 0.1, 'e': 0.9904931018245359}",35,0,-50.768054842583695,"{0: 29, 1: 2, 2: 3, 3: 0, 4: 1}",0
139,False,"{'a': 0.1, 'e': 0.9903550441960673}",20,0,-89.43591163919191,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
140,False,"{'a': 0.1, 'e': 0.9902159962126371}",20,2,-147.76025380754112,"{0: 8, 1: 4, 2: 2, 3: 2, 4: 2}",1
141,False,"{'a': 0.1, 'e': 0.9900759580132933}",20,0,-170.6067888587842,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
142,False,"{'a': 0.1, 'e': 0.9899349297380738}",30,0,-78.85084370377476,"{0: 21, 1: 0, 2: 8, 3: 1, 4: 0}",0
143,False,"{'a': 0.1, 'e': 0.9897929115280072}",20,0,-207.0093279467386,"{0: 8, 1: 1, 2: 7, 3: 1, 4: 3}",0
144,False,"{'a': 0.1, 'e': 0.9896499035251115}",30,0,-122.84473242514584,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
145,False,"{'a': 0.1, 'e': 0.9895059058723947}",25,0,-182.6036938885139,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
146,False,"{'a': 0.1, 'e': 0.9893609187138546}",20,0,-144.2220495567695,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
147,False,"{'a': 0.1, 'e': 0.9892149421944781}",20,0,-61.841585474634776,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
148,False,"{'a': 0.1, 'e': 0.989067976460242}",30,0,-84.96991291202866,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
149,False,"{'a': 0.1, 'e': 0.9889200216581118}",30,0,-228.191556466692,"{0: 18, 1: 0, 2: 7, 3: 1, 4: 4}",0
150,False,"{'a': 0.1, 'e': 0.9887710779360422}",20,0,-161.62807641915245,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
151,False,"{'a': 0.1, 'e': 0.9886211454429773}",20,10,-79.62567935277161,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 2}",1
152,False,"{'a': 0.1, 'e': 0.9884702243288492}",20,0,-79.45678460785666,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
153,False,"{'a': 0.1, 'e': 0.9883183147445792}",25,0,-107.01120300108462,"{0: 11, 1: 6, 2: 7, 3: 1, 4: 0}",0
154,False,"{'a': 0.1, 'e': 0.9881654168420767}",25,0,-99.78001530947601,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
155,False,"{'a': 0.1, 'e': 0.9880115307742399}",30,0,-171.25071354808492,"{0: 17, 1: 1, 2: 9, 3: 1, 4: 2}",0
156,False,"{'a': 0.1, 'e': 0.9878566566949545}",25,0,-206.22831150991303,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 4}",0
157,False,"{'a': 0.1, 'e': 0.9877007947590948}",20,5,-22.255393278484632,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 0}",1
158,False,"{'a': 0.1, 'e': 0.9875439451225226}",25,0,-162.9966763383368,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
159,False,"{'a': 0.1, 'e': 0.9873861079420876}",35,0,-128.46282930756848,"{0: 21, 1: 5, 2: 8, 3: 0, 4: 1}",0
160,False,"{'a': 0.1, 'e': 0.9872272833756269}",20,11,-17.756905832003632,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
161,False,"{'a': 0.1, 'e': 0.9870674715819652}",25,0,-40.90470928258206,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
162,False,"{'a': 0.1, 'e': 0.986906672720914}",25,0,-67.16355409577872,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
163,False,"{'a': 0.1, 'e': 0.9867448869532726}",25,0,-226.56960604115332,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
164,False,"{'a': 0.1, 'e': 0.9865821144408262}",25,0,-188.17528981178643,"{0: 13, 1: 5, 2: 2, 3: 2, 4: 3}",0
